Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,60.0
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),7.1
2020,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,345.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),8.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,105.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),12.4
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,25.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),9.6
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,85.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),14.5
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,20.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),5.9
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,110.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),6.8
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,60.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),8.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,40.0
2015,Cavan Monaghan,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),5.3
2020,Cavan Monaghan,Women+,Total - Persons in economic families,Total - Age,In poverty,130.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),2.9
2020,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 17 years,In poverty,30.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),3.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,6 to 17 years,In poverty,30.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),4.2
2020,Cavan Monaghan,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,25 to 54 years,In poverty,55.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),3.3
2020,Cavan Monaghan,Women+,Total - Persons in economic families,55 to 64 years,In poverty,45.0
2020,Cavan Monaghan,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),5.8
2020,Cavan Monaghan,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,Total - Age,In poverty,275.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),6.9
2015,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 17 years,In poverty,100.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),11.9
2015,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 5 years,In poverty,25.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),9.6
2015,Cavan Monaghan,Women+,Total - Persons in economic families,6 to 17 years,In poverty,80.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),13.7
2015,Cavan Monaghan,Women+,Total - Persons in economic families,18 to 24 years,In poverty,15.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),4.7
2015,Cavan Monaghan,Women+,Total - Persons in economic families,25 to 54 years,In poverty,90.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.9
2015,Cavan Monaghan,Women+,Total - Persons in economic families,55 to 64 years,In poverty,50.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),7.5
2015,Cavan Monaghan,Women+,Total - Persons in economic families,65 years and over,In poverty,20.0
2015,Cavan Monaghan,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),3.3
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,50.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),13.9
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,20.0
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),26.7
2020,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,70.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),21.9
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,20.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),28.6
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,25.0
2015,Cavan Monaghan,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),16.7
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,3920.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),10.1
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,575.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),7.8
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,185.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),8.2
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,390.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),7.6
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,895.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),23.4
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,1525.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),10.5
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,665.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),13.6
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,260.0
2020,Peterborough,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),3.2
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,6785.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),18.2
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,1480.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),20.8
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,620.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),24.7
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,860.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),18.7
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,1420.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),36.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,2645.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),18.7
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,835.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),16.4
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,405.0
2015,Peterborough,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),5.8
2020,Peterborough,Men+,Total - Persons in economic families,Total - Age,In poverty,1590.0
2020,Peterborough,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),5.1
2020,Peterborough,Men+,Total - Persons in economic families,0 to 17 years,In poverty,570.0
2020,Peterborough,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),7.8
2020,Peterborough,Men+,Total - Persons in economic families,0 to 5 years,In poverty,185.0
2020,Peterborough,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),8.2
2020,Peterborough,Men+,Total - Persons in economic families,6 to 17 years,In poverty,390.0
2020,Peterborough,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),7.7
2020,Peterborough,Men+,Total - Persons in economic families,18 to 24 years,In poverty,220.0
2020,Peterborough,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),8.2
2020,Peterborough,Men+,Total - Persons in economic families,25 to 54 years,In poverty,555.0
2020,Peterborough,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.0
2020,Peterborough,Men+,Total - Persons in economic families,55 to 64 years,In poverty,170.0
2020,Peterborough,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),4.7
2020,Peterborough,Men+,Total - Persons in economic families,65 years and over,In poverty,70.0
